DATE,Station Barisal
2011-07-14,32.20
2011-07-15,31.40
2011-07-16,30.60
2011-07-17,31.50
2011-07-18,29
2011-07-19,28.60
2011-07-20,30.20
2011-07-21,29
2011-07-22,30.50
2011-07-23,32
2011-07-24,32.80
2011-07-25,33.30
2011-07-26,34
2011-07-27,33.20
2011-07-28,33
2011-07-29,34
2011-07-30,33.80
2011-07-31,35
2011-08-01,35.60
2011-08-02,32.60
2011-08-03,32.60
2011-08-04,30
2011-08-05,29.60
2011-08-06,31.70
2011-08-07,27.40
2011-08-08,27.50
2011-08-09,26.50
2011-08-10,29.80
2011-08-11,30.40
2011-08-12,29.20
2011-08-13,30.40
2011-08-14,29.80
2011-08-15,31.30
2011-08-16,30
2011-08-17,28
2011-08-18,32
2011-08-19,32.50
2011-08-20,34
2011-08-21,30.80
2011-08-22,32.70
2011-08-23,33.40
2011-08-24,30
2011-08-25,31
2011-08-26,29.30
2011-08-27,32
2011-08-28,32.50
2011-08-29,33.70
2011-08-30,33.50
2011-08-31,31.60
2011-09-01,29.40
2011-09-02,32
2011-09-03,32.50
2011-09-04,32.50
2011-09-05,32.50
2011-09-06,32.60
2011-09-07,29.30
2011-09-08,28.40
2011-09-09,29
2011-09-10,31.20
2011-09-11,33.70
2011-09-12,35.50
2011-09-13,33.20
2011-09-14,29
2011-09-15,31.50
2011-09-16,28
2011-09-17,29.80
2011-09-18,32
2011-09-19,32.50
2011-09-20,32.80
2011-09-21,31.50
2011-09-22,31.10
2011-09-23,32.50
2011-09-24,28
2011-09-25,30
2011-09-26,32.50
2011-09-27,33.50
2011-09-28,34.40
2011-09-29,35
2011-09-30,34.30
2011-10-01,34.20
2011-10-02,31.50
2011-10-03,35
2011-10-04,33.30
2011-10-05,33.40
2011-10-06,34.60
2011-10-07,33.50
2011-10-08,33.40
2011-10-09,33.20
2011-10-10,34.80
2011-10-11,35
2011-10-12,34.40
2011-10-13,34.20
2011-10-14,33
2011-10-15,32.50
2011-10-16,33.80
2011-10-17,33.60
2011-10-18,31
2011-10-19,30.50
2011-10-20,34.40
2011-10-21,32.30
2011-10-22,30.60
2011-10-23,31.60
2011-10-24,32.40
2011-10-25,32.60
2011-10-26,32.20
2011-10-27,32
2011-10-28,32
2011-10-29,32
2011-10-30,32.10
2011-10-31,31
2011-11-01,31
2011-11-02,30.40
2011-11-03,30.40
2011-11-04,30
2011-11-05,30
2011-11-06,30
2011-11-07,30
2011-11-08,30.70
2011-11-09,32
2011-11-10,32.50
2011-11-11,31.80
2011-11-12,31.50
2011-11-13,31.20
2011-11-14,30.30
2011-11-15,30
2011-11-16,29.50
2011-11-17,30.30
2011-11-18,29.30
2011-11-19,28.50
2011-11-20,29.40
2011-11-21,29.40
2011-11-22,30.40
2011-11-23,31.60
2011-11-24,32
2011-11-25,31.50
2011-11-26,30.50
2011-11-27,29.60
2011-11-28,29.50
2011-11-29,29.20
2011-11-30,27.70
2011-12-01,28.20
2011-12-02,30.60
2011-12-03,30.20
2011-12-04,30.50
2011-12-05,29.40
2011-12-06,29
2011-12-07,29.50
2011-12-08,29.50
2011-12-09,30.10
2011-12-10,28.50
2011-12-11,27.50
2011-12-12,27.50
2011-12-13,26.20
2011-12-14,26
2011-12-15,21.20
2011-12-16,25.50
2011-12-17,21.30
2011-12-18,21.60
2011-12-19,22.50
2011-12-20,23.70
2011-12-21,21.40
2011-12-22,22.20
2011-12-23,18.90
2011-12-24,16.50
2011-12-25,22.60
2011-12-26,27
2011-12-27,29
2011-12-28,27.80
2011-12-29,28.20
2011-12-30,29
2011-12-31,28.80
